program,course_code,title,category,academic_year,semester,credits,language,course_url,description,skills_tags,type_of_exam
Business Administration / Economics / Law & Economics,6.111,Grundlagen des Diversity Management,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,111,1.00.pdf","Course on diversity management focusing on leveraging diversity in organizations. Covers cultural diversity, inclusion strategies, and the impact of diversity on business performance","diversity management, inclusion, HR, organizational culture, leadership, ethics, social impact, team management, intercultural competence, diversity, culture, organizational behavior, strategy, cultural diversity, cross-cultural management, Hofstede, Trompenaars, St. Gallen model, gender",group presentation (50%) + decentral exam (50%)
Business Administration / Economics,6.112,Einführung in Cloud-Technologien: Cloud als Enabler für Geschäftsmodell-Innovationen,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,112,1.00.pdf","Course on cloud computing focusing on its role in digital transformation and business innovation. Covers cloud architecture, AI integration, and development of scalable digital solutions","cloud computing, digital transformation, AI, IT systems, data infrastructure, software development, architecture design, technology strategy, big data, IoT, innovation, business models",decentral exam (70%) + oral group exam (30%)
Economics,6.113,Managing innovation in China,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,113,1.00.pdf","Course on innovation and business strategy in China focusing on international business, innovation systems, and market dynamics. Explores Chinese business culture and global strategy","china business, innovation, international business, globalization, strategy, emerging markets, cross-cultural management, technology, entrepreneurship",group presentation (35%) + presentation (5%) + written work (60%)
Business Administration / Economics / Law & Economics,6.114,Management of Industrial Companies,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,114,1.00.pdf","Course on industrial management focusing on production systems, manufacturing strategy, and operational excellence. Covers process optimization, lean management, and production networks.","operations, manufacturing, lean management, process optimization, production strategy, industrial management, supply chain, quality management, efficiency, operations management, manufacturing strategy, operational excellence, total quality management, production networks, process management, digitization",group presentation (40%) + written work (20%) + decentral exam (40%)
Business Administration / Economics / Law & Economics,6.115,Strategiekommunikation und -umsetzung,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,115,1.00.pdf","Course on strategy communication and implementation focusing on translating strategic initiatives into actionable outcomes. Covers internal communication, implementation processes, and the use of AI tools for developing strategy communication campaigns","strategy implementation, strategy communication, AI, change management, project work, consulting, presentation skills, teamwork, problem solving, business strategy, strategy, communication, implementation, generative AI, artificial intelligence, case study, Novartis, strategic management, communication campaigns, team work",group presentation (50%) + group written work (50%)
Business Administration / Economics / Law & Economics,6.117,Tourism Systems - Analysis and Sustainable Management,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,117,1.00.pdf","Course on tourism systems focusing on industry economics, business models, and sustainable management. Covers tourism marketing, system analysis, and the impact of tourism on economic and social environments.","tourism management, sustainability, service management, system analysis, marketing, economics, business models, industry analysis, regional development, tourism, destination management, sustainable management, service marketing, tourism systems, field trip, hospitality",decentral exam (100%)
Business Administration / Economics / Law & Economics,6.119,Fundamentals of Business Process Management,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,119,1.00.pdf","Course on business process management focusing on modeling, analyzing, and optimizing workflows. Covers BPM lifecycle, process redesign, and organizational capabilities for improving business efficiency.","process management, BPM, process modeling, workflow optimization, operations, organizational design, efficiency, data analysis, business transformation, business processes, optimization, workflow, management, business process management, process analysis, process redesign, workflow management, organizational management, digital innovation, block seminar",central exam (100%)
Business Administration / Economics / Law & Economics,6.12,Logistikmanagement,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,120,1.00.pdf","Course on logistics management focusing on planning, coordination, and optimization of logistics systems. Covers procurement, production, and distribution logistics as well as strategic and operational decision-making","logistics, supply chain, transportation, inventory, operations, optimization, planning, distribution, procurement, process management, logistics management, logistics strategy, procurement logistics, production logistics, distribution logistics, warehousing, transport, case study",central exam (70%) + group presentation (30%)
Business Administration / Economics / Law & Economics,6.122,Human Performance and Potential,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,122,1.00.pdf","Course on human performance focusing on motivation, learning, and development in organizations. Explores innovative approaches to performance, collaboration, and sustainable work environments","leadership, motivation, personal development, organizational behavior, teamwork, creativity, learning, collaboration, performance management, human performance, development, potential, motivation theory, learning theory, new work, sustainable work, HR management, prosocial behavior, reflection",written work (40%) + group presentation (60%)
Business Administration / Economics / Law & Economics,6.123,Dienstleistungsmarketing,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,123,1.00.pdf","Course on service marketing focusing on designing, managing, and marketing services. Covers service quality, customer experience, and strategic tools for service industries.","service marketing, customer experience, service design, marketing strategy, pricing, capacity management, quality management, customer satisfaction, demand management, marketing, service management, KANO, SERVQUAL, SERVPERF, yield management, service leadership, service quality, field trip",group written work (50%) + oral exam (50%)
Business Administration / Economics / Law & Economics,6.125,Entrepreneurship (BBWL),Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,125,1.00.pdf","Course on entrepreneurship focusing on identifying opportunities and developing venture concepts. Covers startup processes, prototyping, pitching, and business model development","entrepreneurship, startups, business models, innovation, prototyping, pitching, venture creation, teamwork, problem solving, strategy, startup, business model, startup navigator, venture concept, business idea, profiling, sourcing, scaling, group work",group presentation (40%) + written work (20%) + group written work (40%)
Business Administration / Economics / Law & Economics,6.127,Konzernrechnungslegung und Konzernrecht,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,127,1.00.pdf",Course on group accounting and corporate law focusing on consolidated financial statements and legal structures of corporate groups. Covers consolidation techniques and financial reporting standards.,"accounting, financial reporting, consolidation, corporate law, IFRS, GAAP, finance, auditing, compliance, group accounting, Swiss GAAP FER, transfer pricing, consolidated financial statements, Swiss Code of Obligations, capital consolidation, debt consolidation, segment reporting, currency translation, group law, PwC practice day",decentral exam (100%)
Business Administration / Economics / Law & Economics,6.128,Marketing Communications,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,128,1.00.pdf","Course on marketing communications focusing on communication strategies, branding, and media channels. Includes practical projects developing communication campaigns for real companies","marketing communication, branding, media strategy, advertising, communication strategy, creativity, presentation, teamwork, campaign development, media, audience engagement, strategy, marketing communications, communication models, integrated marketing communications, opinion leaders, consulting project, presentation skills, brand management",decentral exam (60%) + group presentation (40%)
Business Administration / Economics / Law & Economics,6.13,Organisationsdesign,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,130,1.00.pdf","Course on organizational design focusing on structuring and transforming organizations. Covers organizational models, change processes, and designing effective organizational systems","organizational design, change management, strategy, leadership, systems thinking, innovation, process design, management consulting, transformation, agile, structure, management, organizational structure, systems theory, matrix organization, agile organization, holacracy, sociocracy, SCRUM, ambidexterity, innovation ecosystems, reorganization",decentral exam (100%)
Business Administration / Economics / Law & Economics,6.132,Controlling mit SAP,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,132,1.00.pdf","Course on controlling and ERP systems focusing on cost accounting and SAP applications. Covers financial data analysis, ERP systems, and managerial decision-making.","controlling, SAP, ERP, cost accounting, finance, data analysis, financial management, reporting, business analytics, product costing, management reporting, SAP S/4 HANA, cost center accounting, variance analysis, contribution margin, SAP customizing, case study",decentral exam (75%) + active participation (25%)
Business Administration / Economics / Law & Economics,6.133,Enabling Human Potential and Synergistic Collaboration,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,133,1.00.pdf","Course on leadership and collaboration focusing on managing teams and organizations in uncertain environments. Covers motivation, resilience, and teamwork in complex business settings","leadership, teamwork, collaboration, resilience, organizational behavior, motivation, change management, communication, VUCA, innovation, organizational development, team collaboration, employee engagement, high-performance teams, resilient organizations, learning organizations, mindfulness",Active participation (20%) + group presentation (50%) + group written work (30%)
Business Administration / Economics / Law & Economics,6.135,International Management,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,135,1.00.pdf","Course on international management focusing on global strategy, cross-cultural management, and multinational organizations. Covers globalization, internationalization, and global business environments","international business, globalization, strategy, cross-cultural management, internationalization, global markets, teamwork, problem solving, international management, business models, multinational corporations, value creation, infographic, international markets",central exam (50%) + group written work (50%)
Business Administration / Economics / Law & Economics,6.144,Enterprise Risk Management,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,144,1.00.pdf","Course on enterprise risk management focusing on identifying, analyzing, and managing risks in organizations. Covers quantitative and behavioral risk assessment and modern risk challenges.","risk management, data analysis, decision making, finance, cybersecurity, analytics, strategy, problem solving, operational risk, quantitative analysis, workshop design, cyber risk, enterprise risk management, ERM, risk identification, risk assessment, risk analysis, behavioural risk, quantitative risk assessment, cybersecurity risk, risk workshop, co-creation",Group presentation (50%) + written work (50%)
Business Administration / Economics / Law & Economics,6.145,Competitive Dynamics and Business Strategy,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,145,1.00.pdf","Course on business strategy focusing on competitive dynamics and strategic analysis. Covers value creation, business models, and strategic decision-making in competitive markets","strategy, competition, business models, market analysis, decision making, consulting, problem solving, leadership, innovation, competitive advantage, analysis, wargaming, business strategy, competitive dynamics, strategic analysis, value creation, business wargaming, case analysis, strategic thinking, GPT applications",Group presentation (40%) + active participation (20%) + written work (40%)
Business Administration / Economics / Law & Economics,6.149,START Fellowship Finance,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,149,1.00.pdf","Course on entrepreneurial finance focusing on funding strategies for startups. Covers venture capital, financial modeling, and fundraising processes","entrepreneurial finance, venture capital, financial modeling, fundraising, startups, valuation, investment, business planning, finance, business angels, startup valuation, deal terms, financial planning, due diligence, pitching, investor relations",group work (100%)
Business Administration / Economics / Law & Economics,6.15,START Fellowship Entrepreneurship,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,150,1.00.pdf","Course on venture creation focusing on developing and scaling startups. Covers business model development, resource acquisition, and pitching to investors","entrepreneurship, startups, scaling, business models, innovation, pitching, venture creation, networking, strategy, startup, venture capital, business development, business model, startup scaling, startup navigator, prototyping, sourcing, venture capital negotiation, entrepreneurial ecosystems",group presentation (100%)
Business Administration / Economics,6.152,Social Entrepreneurship,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,152,1.00.pdf","Course on social entrepreneurship focusing on creating ventures that address societal challenges. Covers sustainable business models, impact measurement, and innovation for social good","social entrepreneurship, sustainability, innovation, business models, impact, startups, social impact, strategy, problem solving, business model",Group presentation (50%) + written work (30%) + active participation (20%)
Business Administration / Economics / Law & Economics,6.159,The Psychology of Entrepreneurship,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,159,1.00.pdf","Course on entrepreneurial psychology focusing on behavior, cognition, and motivation of entrepreneurs. Covers personality, decision-making, and well-being in entrepreneurial contexts","entrepreneurship, psychology, decision making, motivation, behavior, leadership, self-awareness, creativity, mental health, cognition, wellbeing, entrepreneurship psychology, entrepreneurial personality, entrepreneurial cognition, opportunity recognition, growth mindset, entrepreneurial emotion, entrepreneurial motivation, social entrepreneurship, entrepreneurial well-being, burnout, failure",decentral exam (50%) + group written work (35%) + active participation (15%)
Business Administration / Economics / Law & Economics,6.301,Public Policy Analysis,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,301,1.00.pdf","Course on public policy analysis focusing on policy-making processes and institutional dynamics. Covers policy design, implementation, and evaluation in public and private sectors","public policy, policy analysis, governance, political science, decision making, research, institutions, public sector, strategy, decision-making, public policy analysis, policy cycle, Swiss politics, policy design, policy implementation, policy evaluation, lobbying, comparative public policy, democratic regimes, advocacy",group written work (30%) + decentral exam (70%)
Business Administration / Economics / Law & Economics,6.31,Asia-Pacific Security,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,310,1.00.pdf","Course on international security focusing on geopolitical dynamics in the Asia-Pacific region. Covers US–China rivalry, regional conflicts, and transnational threats, using international relations theory and case-based analysis","international relations, geopolitics, security analysis, policy analysis, global affairs, critical thinking, research, presentation, writing, security, China, global strategy, policy, Asia-Pacific security, East Asia, United States, Taiwan Strait, South China Sea, North Korea, regional cooperation, transnational threats, strategic competition",Group presentation (50%) + written work (50%)
Business Administration / Economics / Law & Economics,6.317,Responding to Crisis and Building Peace,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,317,1.00.pdf","Course on crisis response and peacebuilding focusing on conflict analysis and international interventions. Covers peacebuilding tools, international organizations, and real-world case studies with policy-oriented applications.","conflict analysis, peacebuilding, international organizations, policy writing, crisis management, diplomacy, research, teamwork, presentation, conflict, policy, crisis response, violent conflict, international intervention, United Nations, European Union, conflict cycle, responsibility to protect, sanctions, peacekeeping, policy brief, case study",Group presentation (40%) + group written work (60%)
Business Administration / Economics,6.417,Verfahrensrecht: ZPO,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,417,1.00.pdf","Course on Swiss civil procedural law focusing on legal processes, court structures, and enforcement of civil claims. Covers litigation procedures, evidence law, and legal remedies in civil cases","civil law, legal analysis, litigation, procedural law, case solving, argumentation, legal reasoning, law, civil procedure, courts, compliance",central exam (100%)
Business Administration / Economics,6.42,Verfahrensrecht: Strafprozessrecht,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,420,1.00.pdf","Course on criminal procedural law focusing on the structure and processes of criminal proceedings. Covers legal actors, procedural stages, evidence, and enforcement mechanisms","criminal law, legal procedure, legal analysis, investigation process, evidence law, case solving, legal reasoning, law, litigation, compliance",central exam (100%)
Business Administration / Economics,6.422,Verfahrensrecht: Öffentliches Verfahrensrecht,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,422,1.00.pdf","Course on public procedural law focusing on administrative processes and legal protection. Covers administrative procedures, judicial review, and public law institutions","public law, administrative law, legal analysis, procedural law, case solving, governance, legal reasoning, law, legal procedure, administration, courts, compliance",central exam (100%)
Business Administration / Economics,6.426,Strafrecht BT II,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,426,1.00.pdf","Course on advanced criminal law focusing on specific offense categories and regulatory frameworks. Covers crimes against public order, state, and economic regulations with practical case analysis","criminal law, legal analysis, case solving, legal reasoning, compliance, regulatory law, litigation, economic crime",central exam (60%) + group presentation (40%)
Business Administration / Economics / Law & Economics,6.428,Einführung ins Gesellschaftsrecht,Electives,2026.0,Spring,4.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,428,1.00.pdf","Course on company law focusing on legal forms of organizations and corporate structures. Covers partnerships, corporations, and stakeholder relationships with application to legal cases","corporate law, legal structures, governance, compliance, legal analysis, business law, companies, company law, Swiss law, partnerships, LLC, cooperatives, associations, foundations, commercial register, firm law, legal entities, case solving",central exam (100%)
Economics,6.522,European Economic Law,Electives,2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,522,1.00.pdf","Course on EU economic law focusing on internal market rules and competition law. Covers free movement, regulatory frameworks, and economic integration within the European Union","EU law, competition law, regulation, policy analysis, legal analysis, international economics",central exam (100%)
Business Administration / Economics / Law & Economics,6.908,Tech-Entrepreneurship,Electives,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/6,908,1.00.pdf","Course on technology entrepreneurship focusing on developing and scaling startup ideas. Covers ideation, validation, business models, legal aspects, and pitching with practical coaching and project work.","entrepreneurship, startups, innovation, business models, product-market fit, validation, pitching, venture building, strategy, legal basics, business model, tech entrepreneurship, startup, idea validation, ideation, business model canvas, unit economics, shareholder agreements, data protection, AI regulation, compliance, go-to-market",Portfolio (100%)
Business Administration / Economics / Law & Economics,4.115,Leadership & Human Resource Management,Electives (Business Economics),2026.0,Spring,4.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,115,1.00.pdf","Course on leadership and organizational behavior focusing on managing people, motivation, and team dynamics. Covers leadership theories, HR management practices, and the role of leadership in organizational performance and change","leadership, human resources, organizational behavior, team management, motivation, change management, communication, people management, HR strategy, organizational culture, HR, management, HR management, team leadership, personnel management",central exam (100%)
Economics,4.554,Freier Bereich/Open Area: Moderieren und präsentieren Freier Bereich/Open Area: Moderieren und präsentieren im digitalen Zeitalter,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,554,1.00.pdf","Course on moderation and presentation skills in digital contexts. Focuses on communication models, structuring discussions, and delivering effective presentations using digital tools and AI, with emphasis on group processes and audience-oriented communication.","communication, presentation skills, moderation, digital tools, public speaking, facilitation, teamwork, critical thinking, storytelling, AI tools",Group presentation (50%) + written work (50%)
Economics,4.556,Freier Bereich/Open Area: Konflikte klären als Freier Bereich/Open Area: Konflikte klären als Führungskompetenz,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,556,1.00.pdf","Course on conflict resolution as a leadership skill focusing on diagnosing, managing, and resolving interpersonal and organizational conflicts. Combines theory with practical techniques such as active listening, dialogue facilitation, and negotiation strategies","conflict resolution, leadership, negotiation, communication, mediation, emotional intelligence, problem solving, facilitation, decision making",group presentation (25%) + decentral exam (75%)
Economics,4.558,Freier Bereich/Open Area: Führen durch Freier Bereich/Open Area: Führen durch Interaktionsgestaltung,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,558,1.00.pdf","Course on leadership through managing interaction processes in organizations. Covers leadership theories, communication methods, and practical tools to guide individuals and teams in different organizational contexts","leadership, team management, communication, organizational behavior, decision making, feedback, facilitation, interpersonal skills",group presentation (40%) + written work (60%)
Economics,4.6,Geschichte/History: Imperium-Nation-Kommunismus -Geschichte/History: Imperium-Nation-Kommunismus - Zeitgenössische Interpretation von Nationalismus in Südosteuropa,Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,600,1.00.pdf","Course on nationalism and migration in Southeast Europe combining historical and political analysis. Includes field study and case-based learning to understand identity, state formation, and regional dynamics.","history, nationalism, migration, political analysis, geopolitics, research, critical thinking, field research",Portfolio (100%)
Economics,4.601,"Geschichte/History: Populismus, Patriotismus, Nationalismus -Geschichte/History: Populismus, Patriotismus, Nationalismus - von Cicero bis Trump",Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,601,1.00.pdf","Course analyzing the historical development and contemporary relevance of populism, patriotism, and nationalism from antiquity to modern politics. Focuses on linking historical theories to current global political trends","political theory, history, populism, nationalism, critical thinking, analysis, research, argumentation",Group presentation (40%) + decentral exam (60%)
Economics,4.608,"Geschichte/History: Klima, Karten und Computer - Geschichte Geschichte/History: Klima, Karten und Computer - Geschichte der Klimaforschung",Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,608,1.00.pdf","Course on the history of climate science examining how scientific knowledge, political contexts, and technological developments shaped our understanding of climate change","climate science, history of science, research, critical analysis, environmental studies, data interpretation",Portfolio (100%)
Economics,4.609,Geschichte/History: Vom Spinnen zum Prêt-à-porter - Eine Wirtschaftsgeschichte der Kleider,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,609,1.00.pdf","Course on the economic and global history of textiles and clothing, exploring connections between production, trade, culture, and identity across time","economic history, global trade, cultural analysis, research, critical thinking, writing, historical analysis",group presentation (40%) + written work (60%)
Economics,4.611,Geschichte/History: All Men are Created Equal - Histories of Inequality in the United States,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,611,1.00.pdf","Course on inequality in U.S. history examining how race, gender, and social structures shape access to opportunity and the “American Dream,” using primary and secondary sources","inequality, sociology, history, critical analysis, research, writing, social justice, argumentation",group presentation (30%) + written work (70%)
Economics,4.612,Geschichte/History: Wendepunkte in der Geschichte des politischen Denkens von der Aufklärungszeit bis heute,Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,612,1.00.pdf","Course on the history of political thought from the Enlightenment to modern times, focusing on key theories, debates, and their relevance to contemporary issues","political theory, philosophy, critical thinking, analysis, argumentation, research, writing",2 decentral exam (25%) + written work (50%)
Economics,4.613,Geschichte/History: Der Wiederaufstieg Asiens,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,613,1.00.pdf","Course on the rise of Asia in the global system analyzing economic, political, and institutional transformations across Asian countries and their global impact.","global economics, geopolitics, Asia studies, international relations, analysis, research, critical thinking",presentation (25%) + written work (75%)
Economics,4.614,Geschichte/History: Von Menschen und Maschinen - eine Gesellschaftsgeschichte des digitalen Zeitalters,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,614,1.00.pdf",Course on the historical development of the digital age focusing on the interaction between technological innovation and societal change since the mid-20th century,"digital transformation, history, technology, society, critical analysis, research, data literacy",written work (70%) + group presentation (30%)
Economics,4.615,"Geschichte/History: Götter, Generäle, Grossunternehmer - Kulturgeschichte des Führens",Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,615,1.00.pdf","Course on the cultural history of leadership exploring leadership models across historical contexts, from political and military systems to modern organizations","leadership, history, cultural analysis, critical thinking, strategy, organizational behavior",Portfolio (100%)
Economics,4.617,Geschichte/History: Nine to Five - Dream and Nightmare,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,617,1.00.pdf","Course on the historical and cultural development of white-collar work, analyzing the rise of corporate structures, bureaucracy, and their impact on society and identity","work sociology, organizational behavior, history, critical thinking, cultural analysis, research",Portfolio (100%)
Economics,4.625,Gesellschaft/Society: Herausforderung Demokratie - divergente Theorien und Positionen,Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,625,1.00.pdf",Course on democratic theory and political philosophy analyzing different models and interpretations of democracy through historical and contemporary perspectives,"political theory, democracy, philosophy, critical thinking, argumentation, analysis",Presentation (30%) + group presentation (30%) + written work (40%)
Economics,4.631,Gesellschaft/Society: Philosophie des Geldes,Area of concentration,2026.0,Spring,3.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,631,1.00.pdf","Course exploring philosophical perspectives on money, value, and society through classical and modern texts, focusing on ethical and social implications","philosophy, economics, critical thinking, analysis, ethics, research, argumentation",group presentation (30%) + written work (70%)
Economics,4.632,"Gesellschaft/Society: Drugs, Security and Democracy in Latin America",Area of concentration,2026.0,Spring,6.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,632,1.00.pdf","Course examining the relationship between illicit economies, violence, and democratic governance in Latin America using interdisciplinary approaches","politics, development, security studies, Latin America, research, critical analysis, policy analysis",Portfolio (100%)
Economics,4.633,"Gesellschaft/Society: Unequal Britain - Power, Politics, and Global Inequalities",Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,633,1.00.pdf","Course analyzing social and economic inequalities in Britain and globally, focusing on structural factors such as class, race, and policy.","inequality, sociology, politics, critical thinking, research, social analysis",Group presentation (40%) + written work (60%)
Economics,4.636,Gesellschaft/Society: Sexing the Brain - Populäre und wissenschaftliche Debatten zu Körper und Geschlecht,Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,636,1.00.pdf","Course examining scientific and societal debates on gender and the body, focusing on how knowledge about gender is constructed and contested.","gender studies, sociology, critical thinking, research, science analysis, ethics",Portfolio (100%)
Economics,4.642,"Kreativität/Creativity: Innovation for Social Change - Creativity in Commercial, Political and Nonprofit Contexts",Area of concentration,2026.0,Spring,6.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,642,1.00.pdf","Course on social innovation focusing on creative approaches to solving societal challenges such as poverty, inequality, and climate change through interdisciplinary methods.","innovation, creativity, social impact, problem solving, design thinking, entrepreneurship, strategy",written work (20%) + written work (40%) + group presentation (40%)
Economics,4.646,Kreativität/Creativity: Creative Storytelling,Area of concentration,2026.0,Spring,3.0,English,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,646,1.00.pdf","Course on storytelling techniques focusing on how to craft and communicate compelling narratives using design thinking, visual tools, and creative methods","storytelling, creativity, communication, design thinking, presentation, visual communication, innovation",Group audiovisual work (50%) + written work (50%)
Economics,4.647,Kreativität/Creativity: Dress-Codes des Erfolgs,Area of concentration,2026.0,Spring,6.0,German,"https://tools.unisg.ch/handlers/Public/CourseInformationSheet.ashx/semester/FS26/eventnumber/4,647,1.00.pdf","Course on the social and professional meaning of clothing and appearance. Explores dress codes, identity, and impression management in business contexts, including digital self-presentation and sustainability considerations.","personal branding, communication, social signaling, professional presence, cultural analysis, critical thinking, self-presentation",written work (50%) + group presentation (10%) + group presentation (40%)
